Stream,Task,RecallPerClass
0,1,[0.8250591 0.7008547]
0,1,[0.66903073 0.66153846]
0,1,[0.71394799 0.64444444]
0,1,[0.75177305 0.6991453 ]
0,1,[0.80614657 0.66837607]
0,1,[0.71394799 0.7042735 ]
0,2,[0.92       0.90769231]
0,2,[0.56       0.86666667]
0,2,[0.768      0.82051282]
0,2,[0.92       0.81025641]
0,2,[0.912      0.93333333]
0,2,[0.792      0.95897436]
0,3,[0.15384615 0.72727273]
0,3,[0.53846154 0.57142857]
0,3,[0.53846154 0.57142857]
0,3,[0.07692308 0.80952381]
0,3,[0.30769231 0.72727273]
0,3,[0.69230769 0.52380952]
0,4,[0.14912281 0.97126437]
0,4,[0.24561404 1.        ]
0,4,[0.19298246 1.        ]
0,4,[0.23684211 1.        ]
0,4,[0.0877193  0.97126437]
0,4,[0.04385965 0.97701149]
1,1,[0.07894737 0.16666667 0.79432624 0.61983471]
1,1,[0.42105263 0.16666667 0.4822695  0.41322314]
1,1,[0.26315789 0.16666667 0.77304965 0.47107438]
1,1,[0.26315789 0.27777778 0.75177305 0.50413223]
1,1,[0.31578947 0.16666667 0.84397163 0.52892562]
1,1,[0.26315789 0.25       0.73049645 0.56198347]
1,2,[0.15789474 0.22222222 0.76595745 0.36363636]
1,2,[0.13157895 0.16666667 0.70212766 0.50413223]
1,2,[0.07894737 0.13888889 0.81560284 0.48760331]
1,2,[0.10526316 0.41666667 0.73758865 0.37190083]
1,2,[0.18421053 0.27777778 0.66666667 0.48760331]
1,2,[0.23684211 0.         0.79432624 0.44628099]
1,3,[0.13157895 0.19444444 0.57446809 0.58677686]
1,3,[0.23684211 0.05555556 0.87943262 0.29752066]
1,3,[0.         0.         0.92907801 0.38016529]
1,3,[0.18421053 0.19444444 0.75886525 0.42975207]
1,3,[0.13157895 0.27777778 0.62411348 0.47933884]
1,3,[0.21052632 0.08333333 0.70212766 0.47107438]
1,4,[0.13157895 0.19444444 0.6884058  0.69166667]
1,4,[0.18421053 0.25       0.63043478 0.58333333]
1,4,[0.21052632 0.11111111 0.7826087  0.5       ]
1,4,[0.23684211 0.11111111 0.6884058  0.51666667]
1,4,[0.02631579 0.08333333 0.76086957 0.625     ]
1,4,[0.26315789 0.08333333 0.63768116 0.56666667]
1,5,[0.02631579 0.08333333 0.93617021 0.49586777]
1,5,[0.         0.11111111 0.87234043 0.58677686]
1,5,[0.02631579 0.02777778 0.87234043 0.6446281 ]
1,5,[0.15789474 0.         0.91489362 0.70247934]
1,5,[0. 0. 0. 1.]
1,5,[0.         0.22222222 0.84397163 0.67768595]
1,6,[0.23684211 0.30555556 0.85815603 0.67768595]
1,6,[0.13157895 0.36111111 0.75886525 0.59504132]
1,6,[0.02631579 0.         0.92907801 0.65289256]
1,6,[0.42105263 0.16666667 0.75177305 0.62809917]
1,6,[0.26315789 0.16666667 0.95035461 0.81818182]
1,6,[0.         0.13888889 0.90780142 0.71900826]
1,7,[0.57894737 0.11111111 0.896      0.59504132]
1,7,[0.         0.         0.944      0.52892562]
1,7,[0.         0.         0.84       0.81818182]
1,7,[0.21052632 0.30555556 0.96       0.48760331]
1,7,[0.21052632 0.47222222 0.936      0.62809917]
1,7,[0.57894737 0.22222222 0.952      0.63636364]
1,9,"[0.23684211 0.11111111 0.85106383 0.04761905 0.39285714 0.25581395
 0.        ]"
1,9,"[0.31578947 0.25       0.73758865 0.         0.33928571 0.25581395
 0.        ]"
1,9,"[0.         0.19444444 0.87234043 0.         0.30357143 0.13953488
 0.        ]"
1,9,"[0.15789474 0.11111111 0.89361702 0.0952381  0.375      0.3255814
 0.        ]"
1,9,[0. 1. 0. 0. 0. 0. 0.]
1,9,"[0.07894737 0.         0.92907801 0.04761905 0.42857143 0.27906977
 0.        ]"
1,10,"[0.07894737 0.19444444 0.81560284 0.0952381  0.35714286 0.27906977
 0.        ]"
1,10,"[0.         0.         0.91489362 0.0952381  0.46428571 0.34883721
 0.        ]"
1,10,"[0.13157895 0.         0.84397163 0.0952381  0.46428571 0.41860465
 0.        ]"
1,10,"[0.13157895 0.05555556 0.94326241 0.         0.35714286 0.39534884
 0.        ]"
1,10,[0. 1. 0. 0. 0. 0. 0.]
1,10,"[0.         0.         0.90780142 0.         0.58928571 0.37209302
 0.        ]"
1,11,"[0.26315789 0.02777778 0.76595745 0.04761905 0.30357143 0.39534884
 0.        ]"
1,11,"[0.05263158 0.         0.88652482 0.         0.41071429 0.11627907
 0.        ]"
1,11,"[0.         0.11111111 0.85815603 0.         0.26785714 0.18604651
 0.        ]"
1,11,"[0.21052632 0.         0.82269504 0.         0.32142857 0.18604651
 0.        ]"
1,11,"[0.02631579 0.25       0.73049645 0.0952381  0.26785714 0.18604651
 0.        ]"
1,11,"[0.         0.         0.90070922 0.         0.32142857 0.41860465
 0.        ]"
1,12,"[0.02631579 0.11111111 0.78985507 0.         0.49090909 0.3255814
 0.        ]"
1,12,"[0.28947368 0.11111111 0.78985507 0.         0.4        0.11627907
 0.        ]"
1,12,"[0.15789474 0.05555556 0.91304348 0.         0.30909091 0.20930233
 0.        ]"
