train_acc,val_acc,log_file
0.894845,0.720779,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_1024.log
0.875258,0.714286,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
0.858763,0.707792,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
0.805155,0.707792,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_10_512.log
0.823711,0.701299,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.814433,0.701299,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
0.738144,0.701299,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_512.log
0.738144,0.701299,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_1024.log
0.916495,0.694805,/home/workspace/data/nn_latents[4][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_1024.log
0.835052,0.694805,/home/workspace/data/nn_latents[4][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.816495,0.694805,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
0.803093,0.694805,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
0.793814,0.694805,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.784536,0.694805,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.780412,0.694805,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_10_512.log
0.730928,0.694805,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
1.000000,0.688312,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_10_512.log
1.000000,0.688312,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_5_1024.log
0.806186,0.688312,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.762887,0.688312,/home/workspace/data/nn_latents[10][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.739175,0.688312,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
1.000000,0.681818,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_2_512.log
1.000000,0.681818,/home/workspace/data/nn_latents[4][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_5_512.log
0.844330,0.681818,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.776289,0.681818,/home/workspace/data/nn_latents[9][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_5_512.log
0.769072,0.681818,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_10_1024.log
0.749485,0.681818,/home/workspace/data/nn_latents[8][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_512.log
0.749485,0.681818,/home/workspace/data/nn_latents[8][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_1024.log
0.990722,0.675325,/home/workspace/data/nn_latents[4][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_5_1024.log
0.818557,0.675325,/home/workspace/data/nn_latents[3][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
0.792784,0.675325,/home/workspace/data/nn_latents[4][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.772165,0.675325,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_512.log
0.772165,0.675325,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_1024.log
0.768041,0.675325,/home/workspace/data/nn_latents[8][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.765979,0.675325,/home/workspace/data/nn_latents[8][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
1.000000,0.668831,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_5_512.log
1.000000,0.668831,/home/workspace/data/nn_latents[1][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_2_1024.log
1.000000,0.668831,/home/workspace/data/nn_latents[2][0]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_2_1024.log
