acc,log_file
0.636957,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mfcc_mu.1000_0.001_2_512.log
0.600000,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.16000.nn.voiced.wav2vec_large.100_0.001_5_512.log
0.586957,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.16000.nn.voiced.wav2vec_large.100_0.0001_2_512.log
0.565217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std.1000_0.0001_2_1024.log
0.563043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.100_0.0001_2_512.log
0.552174,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.001_10_512.log
0.552174,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std_mfcc_mu_mfcc_std.1000_0.0001_10_1024.log
0.541304,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.001_10_1024.log
0.539130,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.001_2_1024.log
0.539130,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std.1000_0.0001_10_512.log
0.539130,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std.100_0.0001_2_1024.log
0.536957,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std.100_0.001_10_512.log
0.534783,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.100_0.0001_10_1024.log
0.532609,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.1000_0.001_10_1024.log
0.532609,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.100_0.001_2_1024.log
0.532609,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_std.100_0.0001_10_512.log
0.532609,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.001_10_1024.log
0.532609,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std.1000_0.001_10_512.log
0.528261,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.0001_5_1024.log
0.528261,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_std.1000_0.0001_2_1024.log
0.528261,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.0001_5_512.log
0.526087,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xlsr_53.1000_0.001_5_512.log
0.526087,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.0001_10_1024.log
0.523913,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu.1000_0.0001_10_512.log
0.521739,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.1000_0.0001_1_512.log
0.521739,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.1000_0.0001_1_1024.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.0001_2_1024.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.0001_10_512.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.001_2_1024.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std.100_0.0001_5_512.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.16000.nn.voiced.xls_r_2b.1000_0.001_1_512.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.100_0.001_2_512.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.001_5_512.log
0.519565,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.16000.nn.voiced.xls_r_2b.1000_0.001_1_1024.log
0.517391,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std.1000_0.001_5_512.log
0.517391,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_std.100_0.0001_5_1024.log
0.515217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.100_0.001_1_1024.log
0.515217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.100_0.001_1_512.log
0.515217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu.100_0.0001_10_512.log
0.515217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std_mfcc_mu_mfcc_std.1000_0.0001_10_512.log
0.515217,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_std.1000_0.001_10_512.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std_mfcc_mu_mfcc_std.1000_0.001_5_1024.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.001_1_1024.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.wav2vec_large.1000_0.0001_2_1024.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_mu_mel_std.100_0.001_5_512.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xlsr_53.1000_0.0001_10_1024.log
0.513043,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.001_1_512.log
0.510870,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std.1000_0.001_5_512.log
0.510870,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std.1000_0.0001_5_512.log
0.510870,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mel_std.100_0.001_10_512.log
0.510870,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.xls_r_2b.1000_0.001_5_1024.log
0.508696,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mel_mu_mel_std_mfcc_mu_mfcc_std.100_0.001_5_1024.log
0.508696,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.24000.nn.voiced.mfcc_mu.100_0.001_10_1024.log
0.508696,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/baseline_latents.16000.nn.voiced.mfcc_mu.1000_0.001_5_512.log
0.508696,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.data2vec_base_960.1000_0.001_10_1024.log
0.508696,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.decoar2.1000_0.0001_10_512.log
0.506522,/home/storage/data/cross_tester/voiced_to_svd_aiu/results/nn_latents.24000.nn.voiced.hubert_base.100_0.001_10_512.log
