train_acc,val_acc,log_file
0.867354,0.767391,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.100_0.001_5_512.log
1.000000,0.765217,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_5_1024.log
0.999656,0.765217,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.0001_2_1024.log
1.000000,0.760870,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_2_1024.log
0.815464,0.760870,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.100_0.0001_5_512.log
1.000000,0.758696,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.0001_10_512.log
1.000000,0.756522,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.0001_10_1024.log
1.000000,0.756522,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_2_512.log
0.989003,0.756522,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.0001_2_512.log
1.000000,0.753247,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_5_512.log
1.000000,0.753247,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_1024.log
1.000000,0.752174,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_5_512.log
1.000000,0.750000,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.0001_5_512.log
0.873540,0.750000,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.100_0.001_2_512.log
0.811340,0.750000,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.100_0.0001_2_1024.log
0.922680,0.747826,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_1_512.log
0.922680,0.747826,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_aiu.data2vec_base_960.1000_0.001_1_1024.log
1.000000,0.746753,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
1.000000,0.746753,/mnt/e/vdml-benchmark/data/data2vec_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_10_512.log
