train_acc,val_acc,log_file
0.812371,0.733766,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_1024.log
1.000000,0.727273,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_2_1024.log
1.000000,0.727273,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_512.log
0.854639,0.720779,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_1024.log
0.851546,0.720779,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_512.log
1.000000,0.714286,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_5_1024.log
1.000000,0.714286,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_10_1024.log
1.000000,0.707792,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.1000_0.001_5_1024.log
1.000000,0.707792,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_512.log
0.813402,0.707792,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_512.log
0.813402,0.707792,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_1024.log
0.807216,0.707792,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.100_0.0001_2_512.log
0.804124,0.707792,/home/workspace/data/decoar2_nn_latents[1][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_5_1024.log
0.804124,0.707792,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_512.log
0.804124,0.707792,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_1024.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_1024.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_1024.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_5_512.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_512.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_10_1024.log
1.000000,0.701299,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_5_512.log
0.857732,0.701299,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_1024.log
0.818557,0.701299,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_1024.log
0.817526,0.701299,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_5_1024.log
1.000000,0.694805,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_1024.log
1.000000,0.694805,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_2_1024.log
1.000000,0.694805,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_1024.log
1.000000,0.694805,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_1024.log
1.000000,0.694805,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_1024.log
0.967010,0.694805,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_2_512.log
0.941237,0.694805,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_2_512.log
0.941237,0.694805,/home/workspace/data/decoar2_nn_latents[11][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_1024.log
0.872165,0.694805,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.1000_0.0001_1_1024.log
0.872165,0.694805,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.1000_0.0001_1_512.log
0.844330,0.694805,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_512.log
0.832990,0.694805,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_512.log
0.825773,0.694805,/home/workspace/data/decoar2_nn_latents[6][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_1024.log
0.824742,0.694805,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_5_1024.log
0.823711,0.694805,/home/workspace/data/decoar2_nn_latents[5][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_1024.log
0.822680,0.694805,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.100_0.001_5_512.log
0.810309,0.694805,/home/workspace/data/decoar2_nn_latents[7][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_512.log
0.810309,0.694805,/home/workspace/data/decoar2_nn_latents[7][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_1024.log
0.775258,0.694805,/home/workspace/data/decoar2_nn_latents[4][0]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_5_512.log
1.000000,0.688312,/home/workspace/data/decoar2_nn_latents_full/16000/nn/results/svd_a.decoar2.1000_0.001_10_1024.log
1.000000,0.688312,/home/workspace/data/decoar2_nn_latents[1][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_512.log
1.000000,0.688312,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_1024.log
1.000000,0.688312,/home/workspace/data/decoar2_nn_latents[3][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_512.log
1.000000,0.688312,/home/workspace/data/decoar2_nn_latents[9][0]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_5_512.log
