train_acc,val_acc,log_file
1.000000,0.753247,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_1024.log
1.000000,0.753247,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_5_512.log
1.000000,0.746753,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
1.000000,0.746753,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_10_1024.log
1.000000,0.746753,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_2_512.log
1.000000,0.746753,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_512.log
1.000000,0.746753,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_10_1024.log
0.980412,0.746753,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_10_512.log
0.852577,0.746753,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_512.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_5_1024.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_5_1024.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_10_512.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_10_512.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents[0][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_1024.log
1.000000,0.740260,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_1024.log
0.989691,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_512.log
0.989691,0.740260,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_1024.log
0.845361,0.740260,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_512.log
0.918557,0.733766,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_1024.log
0.855670,0.733766,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_512.log
1.000000,0.727273,/home/workspace/data/hubert_nn_latents[0][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_1024.log
1.000000,0.727273,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_512.log
1.000000,0.727273,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_2_1024.log
1.000000,0.727273,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_1024.log
0.923711,0.727273,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.798969,0.727273,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_512.log
0.795876,0.727273,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_512.log
0.767010,0.727273,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_10_1024.log
1.000000,0.720779,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_5_512.log
1.000000,0.720779,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_2_1024.log
1.000000,0.720779,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_512.log
0.940206,0.720779,/home/workspace/data/hubert_nn_latents[1][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_1024.log
0.919588,0.720779,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.885567,0.720779,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_1024.log
0.830928,0.720779,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_1024.log
0.792784,0.720779,/home/workspace/data/hubert_nn_latents[1][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_5_1024.log
0.784536,0.720779,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_512.log
0.784536,0.720779,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_1024.log
0.705155,0.720779,/home/workspace/data/hubert_nn_latents[11][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_2_512.log
1.000000,0.714286,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_10_1024.log
0.942268,0.714286,/home/workspace/data/hubert_nn_latents[0][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_1024.log
0.888660,0.714286,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_1024.log
0.872165,0.714286,/home/workspace/data/hubert_nn_latents[4][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_1024.log
0.844330,0.714286,/home/workspace/data/hubert_nn_latents[1][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_512.log
0.835052,0.714286,/home/workspace/data/hubert_nn_latents[0][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_5_1024.log
0.824742,0.714286,/home/workspace/data/hubert_nn_latents[1][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_1024.log
0.785567,0.714286,/home/workspace/data/hubert_nn_latents[4][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_10_512.log
0.778351,0.714286,/home/workspace/data/hubert_nn_latents[4][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_512.log
0.778351,0.714286,/home/workspace/data/hubert_nn_latents[4][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_1024.log
0.774227,0.714286,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_512.log
0.774227,0.714286,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_1024.log
1.000000,0.707792,/home/workspace/data/hubert_nn_latents_full/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_10_1024.log
1.000000,0.707792,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_10_512.log
1.000000,0.707792,/home/workspace/data/hubert_nn_latents[3][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_10_512.log
1.000000,0.707792,/home/workspace/data/hubert_nn_latents[5][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_512.log
1.000000,0.707792,/home/workspace/data/hubert_nn_latents[7][0]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_512.log
0.919588,0.707792,/home/workspace/data/hubert_nn_latents[2][0]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_1024.log
