train_acc,val_acc,log_file
0.765979,0.720779,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_512.log
1.000000,0.714286,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_10_1024.log
0.810309,0.714286,/home/workspace/data/wav2vec_large_nn_latents[2][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_1024.log
0.789691,0.714286,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_512.log
0.760825,0.714286,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.759794,0.714286,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_5_512.log
0.742268,0.714286,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.763918,0.707792,/home/workspace/data/wav2vec_large_nn_latents[1][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_1024.log
0.753608,0.707792,/home/workspace/data/wav2vec_large_nn_latents[4][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_5_1024.log
0.753608,0.707792,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_5_1024.log
0.750515,0.707792,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_1024.log
0.749485,0.707792,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_5_1024.log
0.747423,0.707792,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_512.log
0.802062,0.701299,/home/workspace/data/wav2vec_large_nn_latents[4][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_1024.log
0.777320,0.701299,/home/workspace/data/wav2vec_large_nn_latents_full/16000/nn/results/svd_a.wav2vec_large.100_0.001_5_1024.log
0.695876,0.701299,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_2_512.log
1.000000,0.694805,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_10_512.log
1.000000,0.694805,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_5_1024.log
0.970103,0.694805,/home/workspace/data/wav2vec_large_nn_latents[3][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_2_512.log
0.931959,0.694805,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_10_512.log
0.922680,0.694805,/home/workspace/data/wav2vec_large_nn_latents[3][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_10_512.log
0.786598,0.694805,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_5_1024.log
0.768041,0.694805,/home/workspace/data/wav2vec_large_nn_latents[2][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_1024.log
0.759794,0.694805,/home/workspace/data/wav2vec_large_nn_latents[4][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_512.log
0.748454,0.694805,/home/workspace/data/wav2vec_large_nn_latents[6][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_512.log
0.748454,0.694805,/home/workspace/data/wav2vec_large_nn_latents[10][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_512.log
0.676289,0.694805,/home/workspace/data/wav2vec_large_nn_latents[11][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_10_1024.log
0.675258,0.694805,/home/workspace/data/wav2vec_large_nn_latents[9][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_2_512.log
0.668041,0.694805,/home/workspace/data/wav2vec_large_nn_latents[10][0]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_2_1024.log
1.000000,0.688312,/home/workspace/data/wav2vec_large_nn_latents[4][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_5_1024.log
0.968041,0.688312,/home/workspace/data/wav2vec_large_nn_latents[5][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_2_1024.log
0.956701,0.688312,/home/workspace/data/wav2vec_large_nn_latents[4][0]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_2_512.log
