train_acc,val_acc,log_file
0.910309,0.733766,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.001_1_1024.log
0.910309,0.733766,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.001_1_512.log
0.900000,0.733766,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_1024.log
0.856701,0.733766,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_512.log
0.798969,0.733766,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_10_1024.log
0.769072,0.733766,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_10_1024.log
1.000000,0.720779,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_1024.log
1.000000,0.720779,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_10_512.log
0.923711,0.720779,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_512.log
0.826804,0.720779,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_512.log
0.826804,0.720779,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.001_1_1024.log
0.820619,0.720779,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.0001_1_1024.log
0.820619,0.720779,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.0001_1_512.log
0.808247,0.720779,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.001_1_1024.log
0.808247,0.720779,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.001_1_512.log
0.796907,0.720779,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_5_1024.log
0.760825,0.720779,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_5_512.log
1.000000,0.714286,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_10_512.log
1.000000,0.714286,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_512.log
0.942268,0.714286,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.001_2_512.log
0.847423,0.714286,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_512.log
0.826804,0.714286,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_2_1024.log
0.821649,0.714286,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_512.log
1.000000,0.707792,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.0001_2_512.log
0.950515,0.707792,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_1024.log
0.853608,0.707792,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_512.log
0.853608,0.707792,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_1_1024.log
0.853608,0.707792,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_2_1024.log
0.830928,0.707792,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_1024.log
0.805155,0.707792,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_512.log
0.805155,0.707792,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_1_1024.log
0.790722,0.707792,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_10_1024.log
0.767010,0.707792,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_5_512.log
0.755670,0.707792,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_2_1024.log
1.000000,0.701299,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_10_512.log
0.895876,0.701299,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_2_512.log
0.837113,0.701299,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_5_512.log
0.814433,0.701299,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_5_512.log
0.763918,0.701299,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.0001_5_1024.log
1.000000,0.694805,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.001_5_1024.log
1.000000,0.694805,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_10_1024.log
1.000000,0.694805,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_5_1024.log
1.000000,0.694805,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_2_512.log
0.927835,0.694805,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_10_1024.log
0.886598,0.694805,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_2_1024.log
0.868041,0.694805,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_5_1024.log
0.843299,0.694805,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_2_1024.log
0.803093,0.694805,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.001_5_512.log
0.791753,0.694805,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_2_1024.log
0.780412,0.694805,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.001_10_512.log
0.757732,0.694805,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_2_1024.log
0.704124,0.694805,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_1_512.log
0.704124,0.694805,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_1_1024.log
1.000000,0.688312,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_1024.log
0.971134,0.688312,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_2_1024.log
0.970103,0.688312,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_2_512.log
0.937113,0.688312,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.001_5_512.log
0.832990,0.688312,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_2_512.log
0.824742,0.688312,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.001_2_512.log
0.789691,0.688312,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.0001_10_512.log
0.777320,0.688312,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_2_1024.log
0.754639,0.688312,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.100_0.0001_10_512.log
0.744330,0.688312,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.100_0.0001_10_512.log
1.000000,0.681818,/home/workspace/data/data2vec[0][1]_a_n/16000/nn/results/svd_a.data2vec_base_960.1000_0.0001_5_1024.log
1.000000,0.681818,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.1000_0.0001_10_512.log
1.000000,0.681818,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.0001_5_512.log
1.000000,0.681818,/home/workspace/data/hubert[3][2]_a_n/16000/nn/results/svd_a.hubert_base.1000_0.001_2_1024.log
1.000000,0.681818,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.001_5_1024.log
1.000000,0.681818,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.1000_0.0001_10_1024.log
0.829897,0.681818,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.100_0.0001_5_1024.log
0.805155,0.681818,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.1000_0.0001_2_512.log
0.793814,0.681818,/home/workspace/data/decoar2[5][4]_a_n/16000/nn/results/svd_a.decoar2.100_0.001_5_512.log
0.790722,0.681818,/home/workspace/data/wavlm_large[10][5]_a_n/16000/nn/results/svd_a.wavlm_large.100_0.001_5_1024.log
0.772165,0.681818,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_10_1024.log
0.769072,0.681818,/home/workspace/data/wav2vec_large[3][4]_a_n/16000/nn/results/svd_a.wav2vec_large.100_0.001_5_512.log
